,full_text,text_clean,tokenize,stopwords,stemmed,tf,tf_idf
0,"Gibran bikin Solo eksis, Cak Imin mungkin masih mencari panggung politik yang pas @kozirama  https://t.co/nDbbjfW8Zn",gibran bikin solo eksis cak imin mungkin masih mencari panggung politik yang pa,"['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'mencari', 'panggung', 'politik', 'yang', 'pa']","['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'mencari', 'panggung', 'politik', 'pas', 'kozirama', 'httpstcondbbjfwzn']","['gibran', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'cari', 'panggung', 'politik', 'pas', 'kozirama', 'httpstcondbbjfwzn']","{'gibran': 0.07692307692307693, 'bikin': 0.07692307692307693, 'solo': 0.07692307692307693, 'eksis': 0.07692307692307693, 'cak': 0.07692307692307693, 'imin': 0.07692307692307693, 'mungkin': 0.07692307692307693, 'masih': 0.07692307692307693, 'mencari': 0.07692307692307693, 'panggung': 0.07692307692307693, 'politik': 0.07692307692307693, 'yang': 0.07692307692307693, 'pa': 0.07692307692307693}","{'gibran': 0.01264979060707489, 'bikin': 0.06668290879519223, 'solo': 0.04189680920027535, 'eksis': 0.1279044485908903, 'cak': 0.05269494049174818, 'imin': 0.05225823796161814, 'mungkin': 0.09120281361245475, 'masih': 0.06473630377482528, 'mencari': 0.10920921407655998, 'panggung': 0.14360598571826916, 'politik': 0.08056414452274079, 'yang': 0.06537265192605528, 'pa': 0.13751512063768262}"
1,"Gibran berhasil bikin Solo eksis, Cak Imin mungkin masih belajar cara tampil di layar politik @aksioma02  https://t.co/NvdD5eAZQU",gibran berhasil bikin solo eksis cak imin mungkin masih belajar cara tampil di layar politik,"['gibran', 'berhasil', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'belajar', 'cara', 'tampil', 'di', 'layar', 'politik']","['gibran', 'berhasil', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'belajar', 'cara', 'tampil', 'layar', 'politik', 'aksioma', 'httpstconvddeazqu']","['gibran', 'hasil', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'ajar', 'cara', 'tampil', 'layar', 'politik', 'aksioma', 'httpstconvddeazqu']","{'gibran': 0.06666666666666667, 'berhasil': 0.06666666666666667, 'bikin': 0.06666666666666667, 'solo': 0.06666666666666667, 'eksis': 0.06666666666666667, 'cak': 0.06666666666666667, 'imin': 0.06666666666666667, 'mungkin': 0.06666666666666667, 'masih': 0.06666666666666667, 'belajar': 0.06666666666666667, 'cara': 0.06666666666666667, 'tampil': 0.06666666666666667, 'di': 0.06666666666666667, 'layar': 0.06666666666666667, 'politik': 0.06666666666666667}","{'gibran': 0.010963151859464903, 'berhasil': 0.09464798553301865, 'bikin': 0.05779185428916659, 'solo': 0.036310567973571975, 'eksis': 0.11085052211210494, 'cak': 0.04566894842618175, 'imin': 0.04529047290006905, 'mungkin': 0.07904243846412745, 'masih': 0.05610479660484857, 'belajar': 0.11471665191061738, 'cara': 0.17105652124490117, 'tampil': 0.13924843759692368, 'di': 0.04311798175316292, 'layar': 0.17105652124490117, 'politik': 0.06982225858637534}"
2,"Gibran bikin Solo jadi pusat perhatian, Cak Imin nampaknya masih sibuk nyari kipas angin di dunia politik @RagilSemar  https://t.co/1DaNHO3amN",gibran bikin solo jadi pusat perhatian cak imin nampaknya masih sibuk nyari kipas angin di dunia politik,"['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhatian', 'cak', 'imin', 'nampaknya', 'masih', 'sibuk', 'nyari', 'kipas', 'angin', 'di', 'dunia', 'politik']","['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhatian', 'cak', 'imin', 'nampaknya', 'sibuk', 'nyari', 'kipas', 'angin', 'dunia', 'politik', 'ragilsemar', 'httpstcodanhoamn']","['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhati', 'cak', 'imin', 'nampaknya', 'sibuk', 'nyari', 'kipas', 'angin', 'dunia', 'politik', 'ragilsemar', 'httpstcodanhoamn']","{'gibran': 0.058823529411764705, 'bikin': 0.058823529411764705, 'solo': 0.058823529411764705, 'jadi': 0.058823529411764705, 'pusat': 0.058823529411764705, 'perhatian': 0.058823529411764705, 'cak': 0.058823529411764705, 'imin': 0.058823529411764705, 'nampaknya': 0.058823529411764705, 'masih': 0.058823529411764705, 'sibuk': 0.058823529411764705, 'nyari': 0.058823529411764705, 'kipas': 0.058823529411764705, 'angin': 0.058823529411764705, 'di': 0.058823529411764705, 'dunia': 0.058823529411764705, 'politik': 0.058823529411764705}","{'gibran': 0.00967336928776315, 'bikin': 0.05099281260808817, 'solo': 0.032038736447269386, 'jadi': 0.05938501870036649, 'pusat': 0.11551693102032679, 'perhatian': 0.10981634201985288, 'cak': 0.04029613096427802, 'imin': 0.039962181970649165, 'nampaknya': 0.10122057521525063, 'masih': 0.049504232298395796, 'sibuk': 0.06673435614791355, 'nyari': 0.08175038585987274, 'kipas': 0.15093222462785397, 'angin': 0.13322457782409036, 'di': 0.03804527801749669, 'dunia': 0.10122057521525063, 'politik': 0.06160787522327236}"
3,"@VIVAcoid Urang Jabar, naha ikhlas disebut keun bakal ngadukung Prabowo Gibran? Ulah poho 2019 dibobodo 😉Prabowo! https://t.co/OfC9xRMtCP",urang jabar naha ikhlas disebut keun bakal ngadukung prabowo gibran ulah poho dibobodo prabowo,"['urang', 'jabar', 'naha', 'ikhlas', 'disebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', 'prabowo']","['vivacoid', 'urang', 'jabar', 'naha', 'ikhlas', 'disebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', '😉prabowo', 'httpstcoofcxrmtcp']","['vivacoid', 'urang', 'jabar', 'naha', 'ikhlas', 'sebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', 'prabowo', 'httpstcoofcxrmtcp']","{'urang': 0.07142857142857142, 'jabar': 0.07142857142857142, 'naha': 0.07142857142857142, 'ikhlas': 0.07142857142857142, 'disebut': 0.07142857142857142, 'keun': 0.07142857142857142, 'bakal': 0.07142857142857142, 'ngadukung': 0.07142857142857142, 'prabowo': 0.14285714285714285, 'gibran': 0.07142857142857142, 'ulah': 0.07142857142857142, 'poho': 0.07142857142857142, 'dibobodo': 0.07142857142857142}","{'urang': 0.1617727016435383, 'jabar': 0.1491947545681325, 'naha': 0.18327484419096554, 'ikhlas': 0.18327484419096554, 'disebut': 0.18327484419096554, 'keun': 0.18327484419096554, 'bakal': 0.1617727016435383, 'ngadukung': 0.18327484419096554, 'prabowo': 0.1263723687568472, 'gibran': 0.011746234135140967, 'ulah': 0.1617727016435383, 'poho': 0.18327484419096554, 'dibobodo': 0.18327484419096554}"
4,"Gibran gesit, Cak Imin agak lambat Kira-kira harusnya gimana nih? @RizkiAsihan  https://t.co/XgmyMbNLPl",gibran gesit cak imin agak lambat kirakira harusnya gimana nih,"['gibran', 'gesit', 'cak', 'imin', 'agak', 'lambat', 'kirakira', 'harusnya', 'gimana', 'nih']","['gibran', 'gesit', 'cak', 'imin', 'lambat', 'kirakira', 'harusnya', 'gimana', 'nih', 'rizkiasihan', 'httpstcoxgmymbnlpl']","['gibran', 'gesit', 'cak', 'imin', 'lambat', 'kirakira', 'harus', 'gimana', 'nih', 'rizkiasihan', 'httpstcoxgmymbnlpl']","{'gibran': 0.1, 'gesit': 0.1, 'cak': 0.1, 'imin': 0.1, 'agak': 0.1, 'lambat': 0.1, 'kirakira': 0.1, 'harusnya': 0.1, 'gimana': 0.1, 'nih': 0.1}","{'gibran': 0.016444727789197356, 'gesit': 0.2565847818673518, 'cak': 0.06850342263927263, 'imin': 0.06793570935010358, 'agak': 0.2565847818673518, 'lambat': 0.2565847818673518, 'kirakira': 0.2565847818673518, 'harusnya': 0.1866877814337499, 'gimana': 0.19637878273455556, 'nih': 0.1866877814337499}"
5,"Ekonomi Solo meroket, terima kasih kepada Gibran Jakarta dan Jateng? Belum maksimal di bawah Muhaimin @baca_insight  https://t.co/ZlRs8fuRSv",ekonomi solo meroket terima kasih kepada gibran jakarta dan jateng belum maksimal di bawah muhaimin,"['ekonomi', 'solo', 'meroket', 'terima', 'kasih', 'kepada', 'gibran', 'jakarta', 'dan', 'jateng', 'belum', 'maksimal', 'di', 'bawah', 'muhaimin']","['ekonomi', 'solo', 'meroket', 'terima', 'kasih', 'gibran', 'jakarta', 'jateng', 'maksimal', 'bawah', 'muhaimin', 'bacainsight', 'httpstcozlrsfursv']","['ekonomi', 'solo', 'roket', 'terima', 'kasih', 'gibran', 'jakarta', 'jateng', 'maksimal', 'bawah', 'muhaimin', 'bacainsight', 'httpstcozlrsfursv']","{'ekonomi': 0.06666666666666667, 'solo': 0.06666666666666667, 'meroket': 0.06666666666666667, 'terima': 0.06666666666666667, 'kasih': 0.06666666666666667, 'kepada': 0.06666666666666667, 'gibran': 0.06666666666666667, 'jakarta': 0.06666666666666667, 'dan': 0.06666666666666667, 'jateng': 0.06666666666666667, 'belum': 0.06666666666666667, 'maksimal': 0.06666666666666667, 'di': 0.06666666666666667, 'bawah': 0.06666666666666667, 'muhaimin': 0.06666666666666667}","{'ekonomi': 0.1043898545782345, 'solo': 0.036310567973571975, 'meroket': 0.17105652124490117, 'terima': 0.13924843759692368, 'kasih': 0.1309191884897037, 'kepada': 0.13924843759692368, 'gibran': 0.010963151859464903, 'jakarta': 0.07071318935690744, 'dan': 0.05203453224418337, 'jateng': 0.08432118820063576, 'belum': 0.1309191884897037, 'maksimal': 0.15098785486730243, 'di': 0.04311798175316292, 'bawah': 0.11471665191061738, 'muhaimin': 0.07563227030096868}"
6,"Gibran bikin Solo kekinian, Cak Imin mungkin masih sibuk mencari tempat duduk nyaman di arena politik @privetbro1  https://t.co/acVBSRJhi6",gibran bikin solo kekinian cak imin mungkin masih sibuk mencari tempat duduk nyaman di arena politik,"['gibran', 'bikin', 'solo', 'kekinian', 'cak', 'imin', 'mungkin', 'masih', 'sibuk', 'mencari', 'tempat', 'duduk', 'nyaman', 'di', 'arena', 'politik']","['gibran', 'bikin', 'solo', 'kekinian', 'cak', 'imin', 'mungkin', 'sibuk', 'mencari', 'tempat', 'duduk', 'nyaman', 'arena', 'politik', 'privetbro', 'httpstcoacvbsrjhi']","['gibran', 'bikin', 'solo', 'kini', 'cak', 'imin', 'mungkin', 'sibuk', 'cari', 'tempat', 'duduk', 'nyaman', 'arena', 'politik', 'privetbro', 'httpstcoacvbsrjhi']","{'gibran': 0.0625, 'bikin': 0.0625, 'solo': 0.0625, 'kekinian': 0.0625, 'cak': 0.0625, 'imin': 0.0625, 'mungkin': 0.0625, 'masih': 0.0625, 'sibuk': 0.0625, 'mencari': 0.0625, 'tempat': 0.0625, 'duduk': 0.0625, 'nyaman': 0.0625, 'di': 0.0625, 'arena': 0.0625, 'politik': 0.0625}","{'gibran': 0.010277954868248347, 'bikin': 0.05417986339609368, 'solo': 0.034041157475223724, 'kekinian': 0.11173103551811712, 'cak': 0.04281463914954539, 'imin': 0.04245981834381474, 'mungkin': 0.07410228606011948, 'masih': 0.05259824681704554, 'sibuk': 0.07090525340715814, 'mencari': 0.08873248643720498, 'tempat': 0.13054541024711594, 'duduk': 0.14155111393809602, 'nyaman': 0.16036548866709485, 'di': 0.040423107893590236, 'arena': 0.16036548866709485, 'politik': 0.06545836742472688}"
7,"Gibran bikin Solo gemilang, Muhaimin bikin kita bergeming @Amrizaldy511  https://t.co/KnOl9tkxjY",gibran bikin solo gemilang muhaimin bikin kita bergeming,"['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'kita', 'bergeming']","['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'bergeming', 'amrizaldy', 'httpstcoknoltkxjy']","['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'geming', 'amrizaldy', 'httpstcoknoltkxjy']","{'gibran': 0.125, 'bikin': 0.25, 'solo': 0.125, 'gemilang': 0.125, 'muhaimin': 0.125, 'kita': 0.125, 'bergeming': 0.125}","{'gibran': 0.020555909736496694, 'bikin': 0.21671945358437472, 'solo': 0.06808231495044745, 'gemilang': 0.20784472896019676, 'muhaimin': 0.14181050681431628, 'kita': 0.1702159795021991, 'bergeming': 0.3207309773341897}"
8,"Gibran paham, Cak Imin kayaknya butuh kelas ekonomi @Munir_Timur  https://t.co/kwkfUQ3Nca",gibran paham cak imin kayaknya butuh kelas ekonomi,"['gibran', 'paham', 'cak', 'imin', 'kayaknya', 'butuh', 'kelas', 'ekonomi']","['gibran', 'paham', 'cak', 'imin', 'kayaknya', 'butuh', 'kelas', 'ekonomi', 'munirtimur', 'httpstcokwkfuqnca']","['gibran', 'paham', 'cak', 'imin', 'kayak', 'butuh', 'kelas', 'ekonomi', 'munirtimur', 'httpstcokwkfuqnca']","{'gibran': 0.125, 'paham': 0.125, 'cak': 0.125, 'imin': 0.125, 'kayaknya': 0.125, 'butuh': 0.125, 'kelas': 0.125, 'ekonomi': 0.125}","{'gibran': 0.020555909736496694, 'paham': 0.23335972679218736, 'cak': 0.08562927829909078, 'imin': 0.08491963668762947, 'kayaknya': 0.15810222787619205, 'butuh': 0.24547347841819442, 'kelas': 0.3207309773341897, 'ekonomi': 0.1957309773341897}"
9,"Gibran bikin Solo eksis, Cak Imin mungkin masih sibuk mencari stasiun politik untuk naik ke tangga sukses @Ranggajati_  https://t.co/b1sVr76M7Z",gibran bikin solo eksis cak imin mungkin masih sibuk mencari stasiun politik untuk naik ke tangga sukses,"['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'sibuk', 'mencari', 'stasiun', 'politik', 'untuk', 'naik', 'ke', 'tangga', 'sukses']","['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'sibuk', 'mencari', 'stasiun', 'politik', 'naik', 'tangga', 'sukses', 'ranggajati', 'httpstcobsvrmz']","['gibran', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'sibuk', 'cari', 'stasiun', 'politik', 'naik', 'tangga', 'sukses', 'ranggajati', 'httpstcobsvrmz']","{'gibran': 0.058823529411764705, 'bikin': 0.058823529411764705, 'solo': 0.058823529411764705, 'eksis': 0.058823529411764705, 'cak': 0.058823529411764705, 'imin': 0.058823529411764705, 'mungkin': 0.058823529411764705, 'masih': 0.058823529411764705, 'sibuk': 0.058823529411764705, 'mencari': 0.058823529411764705, 'stasiun': 0.058823529411764705, 'politik': 0.058823529411764705, 'untuk': 0.058823529411764705, 'naik': 0.058823529411764705, 'ke': 0.058823529411764705, 'tangga': 0.058823529411764705, 'sukses': 0.058823529411764705}","{'gibran': 0.00967336928776315, 'bikin': 0.05099281260808817, 'solo': 0.032038736447269386, 'eksis': 0.09780928421656318, 'cak': 0.04029613096427802, 'imin': 0.039962181970649165, 'mungkin': 0.06974332805658304, 'masih': 0.049504232298395796, 'sibuk': 0.06673435614791355, 'mencari': 0.08351292841148704, 'stasiun': 0.15093222462785397, 'politik': 0.06160787522327236, 'untuk': 0.08745097486034663, 'naik': 0.12286626846787382, 'ke': 0.0719661845794889, 'tangga': 0.15093222462785397, 'sukses': 0.08175038585987274}"
