full_text,text_clean,tokenize,stopwords,stemmed
"Gibran bikin Solo eksis, Cak Imin mungkin masih mencari panggung politik yang pas @kozirama  https://t.co/nDbbjfW8Zn",gibran bikin solo eksis cak imin mungkin masih mencari panggung politik yang pas kozirama  httpstcondbbjfwzn,"['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'mencari', 'panggung', 'politik', 'yang', 'pas', 'kozirama', 'httpstcondbbjfwzn']","['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'mencari', 'panggung', 'politik', 'pas', 'kozirama', 'httpstcondbbjfwzn']","['gibran', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'cari', 'panggung', 'politik', 'pas', 'kozirama', 'httpstcondbbjfwzn']"
"Gibran berhasil bikin Solo eksis, Cak Imin mungkin masih belajar cara tampil di layar politik @aksioma02  https://t.co/NvdD5eAZQU",gibran berhasil bikin solo eksis cak imin mungkin masih belajar cara tampil di layar politik aksioma  httpstconvddeazqu,"['gibran', 'berhasil', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'belajar', 'cara', 'tampil', 'di', 'layar', 'politik', 'aksioma', 'httpstconvddeazqu']","['gibran', 'berhasil', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'belajar', 'cara', 'tampil', 'layar', 'politik', 'aksioma', 'httpstconvddeazqu']","['gibran', 'hasil', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'ajar', 'cara', 'tampil', 'layar', 'politik', 'aksioma', 'httpstconvddeazqu']"
"Gibran bikin Solo jadi pusat perhatian, Cak Imin nampaknya masih sibuk nyari kipas angin di dunia politik @RagilSemar  https://t.co/1DaNHO3amN",gibran bikin solo jadi pusat perhatian cak imin nampaknya masih sibuk nyari kipas angin di dunia politik ragilsemar  httpstcodanhoamn,"['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhatian', 'cak', 'imin', 'nampaknya', 'masih', 'sibuk', 'nyari', 'kipas', 'angin', 'di', 'dunia', 'politik', 'ragilsemar', 'httpstcodanhoamn']","['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhatian', 'cak', 'imin', 'nampaknya', 'sibuk', 'nyari', 'kipas', 'angin', 'dunia', 'politik', 'ragilsemar', 'httpstcodanhoamn']","['gibran', 'bikin', 'solo', 'jadi', 'pusat', 'perhati', 'cak', 'imin', 'nampaknya', 'sibuk', 'nyari', 'kipas', 'angin', 'dunia', 'politik', 'ragilsemar', 'httpstcodanhoamn']"
"@VIVAcoid Urang Jabar, naha ikhlas disebut keun bakal ngadukung Prabowo Gibran? Ulah poho 2019 dibobodo 😉Prabowo! https://t.co/OfC9xRMtCP",vivacoid urang jabar naha ikhlas disebut keun bakal ngadukung prabowo gibran ulah poho  dibobodo 😉prabowo httpstcoofcxrmtcp,"['vivacoid', 'urang', 'jabar', 'naha', 'ikhlas', 'disebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', '😉prabowo', 'httpstcoofcxrmtcp']","['vivacoid', 'urang', 'jabar', 'naha', 'ikhlas', 'disebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', '😉prabowo', 'httpstcoofcxrmtcp']","['vivacoid', 'urang', 'jabar', 'naha', 'ikhlas', 'sebut', 'keun', 'bakal', 'ngadukung', 'prabowo', 'gibran', 'ulah', 'poho', 'dibobodo', 'prabowo', 'httpstcoofcxrmtcp']"
"Gibran gesit, Cak Imin agak lambat Kira-kira harusnya gimana nih? @RizkiAsihan  https://t.co/XgmyMbNLPl",gibran gesit cak imin agak lambat kirakira harusnya gimana nih rizkiasihan  httpstcoxgmymbnlpl,"['gibran', 'gesit', 'cak', 'imin', 'agak', 'lambat', 'kirakira', 'harusnya', 'gimana', 'nih', 'rizkiasihan', 'httpstcoxgmymbnlpl']","['gibran', 'gesit', 'cak', 'imin', 'lambat', 'kirakira', 'harusnya', 'gimana', 'nih', 'rizkiasihan', 'httpstcoxgmymbnlpl']","['gibran', 'gesit', 'cak', 'imin', 'lambat', 'kirakira', 'harus', 'gimana', 'nih', 'rizkiasihan', 'httpstcoxgmymbnlpl']"
"Ekonomi Solo meroket, terima kasih kepada Gibran Jakarta dan Jateng? Belum maksimal di bawah Muhaimin @baca_insight  https://t.co/ZlRs8fuRSv",ekonomi solo meroket terima kasih kepada gibran jakarta dan jateng belum maksimal di bawah muhaimin bacainsight  httpstcozlrsfursv,"['ekonomi', 'solo', 'meroket', 'terima', 'kasih', 'kepada', 'gibran', 'jakarta', 'dan', 'jateng', 'belum', 'maksimal', 'di', 'bawah', 'muhaimin', 'bacainsight', 'httpstcozlrsfursv']","['ekonomi', 'solo', 'meroket', 'terima', 'kasih', 'gibran', 'jakarta', 'jateng', 'maksimal', 'bawah', 'muhaimin', 'bacainsight', 'httpstcozlrsfursv']","['ekonomi', 'solo', 'roket', 'terima', 'kasih', 'gibran', 'jakarta', 'jateng', 'maksimal', 'bawah', 'muhaimin', 'bacainsight', 'httpstcozlrsfursv']"
"Gibran bikin Solo kekinian, Cak Imin mungkin masih sibuk mencari tempat duduk nyaman di arena politik @privetbro1  https://t.co/acVBSRJhi6",gibran bikin solo kekinian cak imin mungkin masih sibuk mencari tempat duduk nyaman di arena politik privetbro  httpstcoacvbsrjhi,"['gibran', 'bikin', 'solo', 'kekinian', 'cak', 'imin', 'mungkin', 'masih', 'sibuk', 'mencari', 'tempat', 'duduk', 'nyaman', 'di', 'arena', 'politik', 'privetbro', 'httpstcoacvbsrjhi']","['gibran', 'bikin', 'solo', 'kekinian', 'cak', 'imin', 'mungkin', 'sibuk', 'mencari', 'tempat', 'duduk', 'nyaman', 'arena', 'politik', 'privetbro', 'httpstcoacvbsrjhi']","['gibran', 'bikin', 'solo', 'kini', 'cak', 'imin', 'mungkin', 'sibuk', 'cari', 'tempat', 'duduk', 'nyaman', 'arena', 'politik', 'privetbro', 'httpstcoacvbsrjhi']"
"Gibran bikin Solo gemilang, Muhaimin bikin kita bergeming @Amrizaldy511  https://t.co/KnOl9tkxjY",gibran bikin solo gemilang muhaimin bikin kita bergeming amrizaldy  httpstcoknoltkxjy,"['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'kita', 'bergeming', 'amrizaldy', 'httpstcoknoltkxjy']","['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'bergeming', 'amrizaldy', 'httpstcoknoltkxjy']","['gibran', 'bikin', 'solo', 'gemilang', 'muhaimin', 'bikin', 'geming', 'amrizaldy', 'httpstcoknoltkxjy']"
"Gibran paham, Cak Imin kayaknya butuh kelas ekonomi @Munir_Timur  https://t.co/kwkfUQ3Nca",gibran paham cak imin kayaknya butuh kelas ekonomi munirtimur  httpstcokwkfuqnca,"['gibran', 'paham', 'cak', 'imin', 'kayaknya', 'butuh', 'kelas', 'ekonomi', 'munirtimur', 'httpstcokwkfuqnca']","['gibran', 'paham', 'cak', 'imin', 'kayaknya', 'butuh', 'kelas', 'ekonomi', 'munirtimur', 'httpstcokwkfuqnca']","['gibran', 'paham', 'cak', 'imin', 'kayak', 'butuh', 'kelas', 'ekonomi', 'munirtimur', 'httpstcokwkfuqnca']"
"Gibran bikin Solo eksis, Cak Imin mungkin masih sibuk mencari stasiun politik untuk naik ke tangga sukses @Ranggajati_  https://t.co/b1sVr76M7Z",gibran bikin solo eksis cak imin mungkin masih sibuk mencari stasiun politik untuk naik ke tangga sukses ranggajati  httpstcobsvrmz,"['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'masih', 'sibuk', 'mencari', 'stasiun', 'politik', 'untuk', 'naik', 'ke', 'tangga', 'sukses', 'ranggajati', 'httpstcobsvrmz']","['gibran', 'bikin', 'solo', 'eksis', 'cak', 'imin', 'mungkin', 'sibuk', 'mencari', 'stasiun', 'politik', 'naik', 'tangga', 'sukses', 'ranggajati', 'httpstcobsvrmz']","['gibran', 'bikin', 'solo', 'eks', 'cak', 'imin', 'mungkin', 'sibuk', 'cari', 'stasiun', 'politik', 'naik', 'tangga', 'sukses', 'ranggajati', 'httpstcobsvrmz']"
